mp_index,lon,lat,route_count,direct_count,quality_score,name,address
0,116.799397,39.943108,9,6,3.5000,燕灵路口(公交站),811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;快速直达专线9路;燕郊专线
1,116.911389,39.953325,5,3,3.5000,夏垫(公交站),113路;816路;817路;930路;三河503路;大厂4路
2,116.816719,39.943815,4,4,3.4900,燕郊迎宾路口(公交站),811路;816路;817路;930路
3,116.838806,39.945667,4,4,3.4900,燕郊食品城(公交站),811路;816路;817路;930路
4,116.800474,39.948541,6,5,3.5000,交通干部管理学院(公交站),811路;812路;813路;814路;818路;818路(金桐西路);819路;燕郊专线
5,116.890820,39.950213,4,3,3.4900,东柳河屯(公交站),816路;817路;930路;三河503路
6,116.789907,39.947601,4,3,3.4900,潮白人家小区(公交站),812路;814路;818路;818路(金桐西路);882路
7,116.827044,39.944397,4,4,3.4900,燕郊火车站口(公交站),811路;816路;817路;930路
8,116.920282,39.954459,3,2,3.3300,燕北畜牧机械厂(公交站),816路;930路;三河503路
9,116.941406,39.957813,3,2,3.3300,大厂温泉度假村(公交站),816路;930路;三河503路
10,116.897899,39.951445,3,3,3.3300,大厂福喜公司(公交站),816路;817路;930路
11,116.928101,39.955761,3,2,3.3300,耀华佳苑(公交站),816路;930路;三河503路
12,116.838168,39.958766,5,3,3.3000,上上城五期(公交站),813路;814路;882路;三河301A路;三河301B路;快速直达专线9路
13,116.805075,39.958450,2,2,3.1700,华北科技学院北门(公交站),811路;818路;818路(金桐西路)
14,116.812131,39.958398,2,2,3.1700,燕郊中美医院(公交站),811路;818路;818路(金桐西路)
15,116.866506,39.947930,2,2,3.1700,运河源建材城(公交站),816路;930路
16,116.817887,39.948938,4,2,3.1400,燕郊开发区(公交站),813路;814路;三河303路;三河401路
17,116.780525,39.963097,10,2,3.1300,意华小区(公交站),(停运)三河旅游4线;(停运)燕潮夜市3路;815路大站快车;815路快;815路快(景辉南街);819路;882路;893路;三河301A路;三河301B路;三河303路;三河309路;临1路;城铁接驳1路;快速直达专线20路;快速直达专线61路;燕郊专线
18,116.850310,39.946772,6,1,3.0600,长城重机(公交站),930路;三河303路;三河305路;三河307路;三河310路;三河503路
19,116.798400,39.958559,5,3,3.0000,中赵甫村(公交站),(停运)燕潮夜市1线;811路;818路;818路(金桐西路);819路;三河307路;三河308路;燕郊专线
20,116.830046,39.949560,2,2,2.8200,上上城四期(公交站),813路;814路;燕郊专线
21,116.962845,39.901833,2,2,2.8200,霍各庄(公交站),816路;817路
22,116.984207,39.966396,3,1,2.5800,直属库(公交站),930路;三河503路;三河507路
23,116.830348,39.973360,2,1,2.4200,天洋城总站(公交站),818路;818路(金桐西路);893路
24,116.990699,39.967863,1,1,2.2600,临时站(公交站),930路
25,117.019492,39.975916,1,1,2.2600,蓝庄酒厂(公交站),930路
26,116.820606,39.965132,1,1,2.2600,天洋城(公交站),818路;818路(金桐西路)
27,117.007713,39.971376,1,1,2.2600,李旗庄(公交站),930路
28,116.843652,39.930434,3,1,2.2300,燕郊总站(公交站),811路;812路;894路;燕郊专线
29,116.842359,39.937623,3,1,2.2300,燕郊冶金一局(公交站),811路;812路;894路;燕郊专线
30,116.951311,39.959635,4,1,2.0900,煤矿路口(公交站),(停运)三河旅游3线;113路;930路;三河503路;三河507路
31,116.953316,39.929558,2,1,2.0700,赵沟子村(公交站),113路;816路
32,116.951984,39.937930,1,1,1.9100,王果子村(公交站),816路
33,116.927331,39.925473,1,1,1.9100,南寺头村(公交站),817路
34,116.958809,39.905743,1,1,1.9100,六合庄(公交站),816路
35,116.917999,39.944701,1,1,1.9100,夏垫镇政府(公交站),817路;大厂4路
36,116.922577,39.934921,1,1,1.9100,大厂马坊(公交站),817路
37,116.782921,39.958380,1,1,1.9100,东方夏威夷小区西门(公交站),819路;燕郊专线
38,116.954781,39.919777,1,1,1.9100,褚各庄(公交站),816路
39,116.789692,39.958959,1,1,1.9100,东方夏威夷小区东门(公交站),819路;燕郊专线
40,116.932542,39.917753,1,1,1.9100,大厂陈辛庄(公交站),817路
41,116.950464,39.948637,1,1,1.9100,大厂东庄(公交站),816路
42,116.937546,39.914215,1,1,1.9100,土营(公交站),817路
43,116.952617,39.909158,1,1,1.9100,褚各庄南(公交站),817路
44,116.808452,39.944028,5,0,1.8000,燕郊镇政府(公交站),三河301A路;三河301B路;三河304路;三河309路;三河503路
45,116.806448,39.974014,4,0,1.6400,华隆工业园(公交站),三河301A路;三河301B路;三河307路;三河501路
46,116.780924,39.971269,4,0,1.6400,燕京新城东(公交站),893路;三河301A路;三河301B路;三河306路
47,116.847790,39.953000,4,0,1.6400,电厂西门(公交站),三河301A路;三河301B路;三河307路;三河310路
48,116.791895,39.971619,4,0,1.6400,锦绣华庭小区(公交站),893路;三河301A路;三河301B路;三河306路
49,116.820123,39.915841,3,0,1.4800,梦东方未来世界(公交站),302路;三河308路;大厂22路
50,116.815313,39.972133,3,0,1.4800,中美公寓(公交站),三河301A路;三河301B路;三河501路
51,116.800692,39.912661,3,0,1.4800,西城子北(公交站),894路;三河308路;三河503路
52,116.820745,39.936115,2,0,1.3200,燕郊半壁店村(公交站),812路;894路
53,117.023151,39.930356,2,0,1.3200,三河市拓达物流(公交站),502路;三河515路
54,116.849005,39.906173,2,0,1.3200,西吴各庄西口(公交站),三河304路;三河309路
55,116.836626,39.968813,2,0,1.3200,燕高路亿丰大街路口(公交站),三河301A路;三河301B路
56,116.833530,39.937409,2,0,1.3200,燕郊冶金西区(公交站),812路;894路
57,116.975310,39.964446,2,0,1.3200,李木耳(公交站),三河503路;三河507路
58,116.795561,39.936250,2,0,1.3200,燕达医院(公交站),三河308路;三河503路
59,116.966723,39.962535,2,0,1.3200,大定福(公交站),三河503路;三河507路
60,116.821541,39.910553,2,0,1.3200,夏威夷蓝湾北(公交站),302路;大厂22路
61,116.847579,39.916088,2,0,1.3200,张营村南(公交站),三河304路;三河309路
62,116.853709,39.977753,2,0,1.3200,姜庄村(公交站),三河308路;三河501路
63,116.811338,39.948532,2,0,1.3200,步行街南口(公交站),三河303路;三河401路
64,116.798529,39.922613,2,0,1.3200,田辛庄北(公交站),三河308路;三河503路
65,116.795436,39.978782,2,0,1.3200,实验中学(公交站),三河304路;三河501路
66,116.832001,39.961646,2,0,1.3200,欧森工业园(公交站),三河306路;三河401路
67,116.959528,39.960828,2,0,1.3200,大定福西(公交站),三河503路;三河507路
68,117.043803,39.946480,1,0,1.1600,化甲屯(公交站),三河509路
69,117.016944,39.929883,1,0,1.1600,商庄子村(公交站),三河515路
70,116.826089,39.903616,1,0,1.1600,大柳店东(公交站),三河309路
71,116.968564,39.936315,1,0,1.1600,大景庄村(公交站),512路
72,116.784914,39.950647,4,0,0.9900,夏威夷南岸(公交站),(停运)三河旅游4线;(停运)燕潮夜市3路;三河301A路;三河301B路;三河303路;三河308路
73,116.905925,39.935481,0,0,1.0000,祁屯工业区(公交站),大厂4路
74,117.043866,39.931186,1,0,1.1600,大曹庄北(公交站),三河509路
75,116.807470,39.952871,1,0,1.1600,中海油基地(公交站),三河307路
76,116.800963,39.977006,1,0,1.1600,小庄村(公交站),三河307路
77,117.009686,39.929319,1,0,1.1600,田村(公交站),三河515路
78,116.850048,39.963203,1,0,1.1600,雪花啤酒厂(公交站),三河308路
79,116.966970,39.979145,1,0,1.1600,赵各庄村(公交站),三河517路
80,116.828176,39.953898,1,0,1.1600,普罗旺斯南(公交站),三河307路;临1路
81,116.989281,39.956571,1,0,1.1600,西辛店(公交站),三河515路
82,116.862679,39.913101,1,0,1.1600,大石各庄村委会(公交站),三河304支路
83,117.043823,39.941635,1,0,1.1600,小安庄(公交站),三河509路
84,116.805840,39.928543,1,0,1.1600,燕郊一街(公交站),三河401路
85,116.794286,39.900706,1,0,1.1600,污水处理厂(公交站),三河309路
86,116.907106,39.908215,0,0,1.0000,邵府新民居(公交站),大厂4路
87,117.029376,39.901558,1,0,1.1600,夏庄村北(公交站),502路
88,116.852451,39.972484,1,0,1.1600,发盖子村东(公交站),三河308路
89,117.026723,39.978689,1,0,0.5100,李枣林西口(公交站),(停运)三河511路
90,116.905737,39.920626,0,0,1.0000,潮白商业中心(公交站),大厂4路
91,116.819710,39.958779,1,0,1.1600,燕郊自来水公司(公交站),三河308路
92,116.841451,39.950215,1,0,1.1600,忆江南(公交站),三河303路
93,116.850042,39.931860,1,0,1.1600,马起乏(公交站),三河307路
94,116.826752,39.965119,1,0,1.1600,光大学校(公交站),三河306路
95,116.946836,39.975855,1,0,1.1600,荣家堡村西(公交站),三河507路
96,116.808162,39.916715,1,0,1.1600,西蔡各庄南(公交站),三河401路
97,116.819197,39.953435,1,0,1.1600,燕安花园(公交站),三河307路;临1路
98,116.795334,39.951454,1,0,1.1600,樊村小区(公交站),三河309路
99,116.844824,39.972944,1,0,1.1600,发盖子村北(公交站),三河501路
100,117.044266,39.965469,1,0,1.1600,科达彩印公司(公交站),三河202路
101,116.909983,39.900130,0,0,1.0000,邵府村东(公交站),大厂4路
102,116.990527,39.903228,0,0,1.0000,湖韵澜湾(招呼站)(公交站),大厂县城循环A线;大厂县城循环B线
103,116.811878,39.977382,1,0,1.1600,第二实验中学(公交站),302路
104,116.796322,39.963858,1,0,1.1600,中赵甫南(公交站),三河304路;临1路
105,116.918001,39.900048,0,0,1.0000,太平庄村(公交站),大厂4路
106,116.933868,39.956806,1,0,1.1600,北王庄(公交站),三河503路
107,116.871567,39.917130,1,0,1.1600,小石各庄(公交站),三河304支路
108,117.024123,39.912700,1,0,1.1600,辛军屯村(公交站),502路
109,116.915017,39.935678,0,0,1.0000,世贸萨拉曼卡(公交站),大厂4路
110,116.804063,39.933724,1,0,1.1600,燕郊三街(公交站),三河401路
111,116.809943,39.911946,1,0,1.1600,西蔡村南(公交站),三河308路
112,116.883859,39.949740,1,0,1.1600,李家务(公交站),三河503路
113,116.976645,39.935380,1,0,1.1600,阎庄子村(公交站),512路
114,116.825630,39.958515,1,0,1.1600,京贸物联西门(公交站),三河305路
115,117.011507,39.938469,1,0,1.1600,丁家庄村(公交站),512路
116,116.860272,39.932806,1,0,1.1600,卸甲庄(公交站),三河307路
117,116.788543,39.976481,1,0,1.1600,燕福达建材广场(公交站),三河307路
118,116.827194,39.936768,1,0,0.5100,代刘庄(公交站),(停运)燕潮夜市2线;三河304路
119,116.985700,39.937372,1,0,1.1600,西杨庄村(公交站),512路
120,116.920091,39.940160,0,0,1.0000,春和群星园(公交站),大厂4路
121,116.859055,39.902863,1,0,1.1600,东吴各庄(公交站),三河304支路
122,116.905892,39.915719,0,0,1.0000,畅享机械(公交站),大厂4路
123,117.025082,39.905560,1,0,1.1600,付各庄东(公交站),502路
124,116.844801,39.960456,1,0,0.5100,福成五期北门(公交站),(停运)燕潮夜市2线;三河308路
125,116.868301,39.941199,1,0,1.1600,运河苑石材(公交站),三河307路
126,116.905732,39.930701,0,0,1.0000,祁福佳苑(公交站),大厂4路
127,117.043400,39.915468,1,0,1.1600,霍各庄(公交站),三河509路
128,117.029362,39.930825,1,0,1.1600,范港村(公交站),502路
129,116.991202,39.935013,1,0,1.1600,何屯村(公交站),三河515路
130,116.818000,39.924851,2,0,1.3200,交界庄(公交站),302路;大厂22路
131,116.858925,39.908356,1,0,1.1600,福成美食苑(公交站),三河304支路
132,117.045923,39.900134,1,0,1.1600,任官庄南(公交站),三河509路
133,117.042930,39.904971,1,0,1.1600,任官庄(公交站),三河509路
134,117.044090,39.975574,1,0,1.1600,徐枣林村东(公交站),三河509路
135,117.043787,39.925507,1,0,1.1600,大曹庄南(公交站),三河509路
136,117.043975,39.961129,1,0,1.1600,尚德园林(公交站),三河509路
137,117.044065,39.956513,1,0,1.1600,杨相公庄(公交站),三河509路
138,117.037986,39.931406,1,0,1.1600,大曹庄村(公交站),502路
139,117.038257,39.945918,1,0,1.1600,化甲屯小学(公交站),512路
140,117.022630,39.923954,1,0,1.1600,尹辛庄村(公交站),502路
141,117.011665,39.979542,1,0,1.1600,铭泰产业园(公交站),三河104路
142,117.012485,39.973250,3,0,1.4800,李民庄(公交站),三河503路;三河507路;三河515路
143,117.002157,39.970126,3,0,1.4800,第三中学(公交站),三河503路;三河507路;三河515路
144,116.998424,39.930178,1,0,1.1600,翟各庄村(公交站),三河515路
145,116.996345,39.968942,3,0,1.4800,农业园区(公交站),三河503路;三河507路;三河515路
146,116.990365,39.944651,1,0,1.1600,翟各庄小学(公交站),三河515路
147,116.953926,39.925507,1,1,1.9100,苇子庄(公交站),816路
148,116.951492,39.942261,1,1,1.9100,沃珅路口(公交站),816路
149,116.925104,39.929579,1,1,1.9100,大厂职教中心(公交站),817路
150,116.905863,39.952684,4,3,2.8400,夏垫交警中队(公交站),(停运)三河旅游3线;816路;817路;930路;三河503路;大厂4路
151,116.800470,39.901389,1,0,1.1600,兴都村西(公交站),三河309路
152,116.795570,39.942609,9,6,3.4800,兴达广场小区(公交站),(停运)燕潮夜市1线;811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;燕郊专线
153,116.833394,39.945182,3,3,3.3300,燕郊印刷城(公交站),811路;816路;930路
154,116.843658,39.946102,2,2,3.1700,燕郊住达集团(公交站),816路;930路
155,116.871529,39.948315,4,3,2.8400,天子庄园(公交站),(停运)三河旅游3线;816路;817路;930路;三河503路
156,117.016098,39.974544,3,0,1.4800,三星科技园(公交站),三河503路;三河507路;三河515路
157,116.806621,39.948315,2,2,2.8200,燕郊行宫大市场(公交站),813路;814路
158,117.043226,39.911412,1,0,1.1600,韩各庄(公交站),三河509路
159,117.043840,39.938660,1,0,1.1600,马各庄(公交站),三河509路
160,117.043903,39.949888,1,0,1.1600,化甲屯北(公交站),三河509路
161,117.025525,39.902500,1,0,1.1600,小金庄村东(公交站),502路
162,117.033774,39.944641,1,0,1.1600,化甲屯村委会(公交站),512路
163,116.836519,39.949966,2,2,2.8200,上上城二期(公交站),813路;814路;燕郊专线
164,117.023733,39.915751,1,0,1.1600,付辛庄小学(公交站),502路
165,116.930282,39.920993,1,1,1.9100,南寺头南路(公交站),817路
166,116.786576,39.946259,6,1,2.4100,欧逸丽庭(公交站),(停运)燕潮夜市3路;815路快;815路快(景辉南街);818路;818路(金桐西路);893路;三河301A路;三河301B路;三河308路
167,117.015543,39.939631,1,0,1.1600,丁桥庄村委会(公交站),512路
168,116.990965,39.937730,2,0,1.3200,翟各庄卫生院(公交站),512路;三河515路
