mp_index,source_index,lon,lat,route_count,direct_count,is_direct,is_suspended,quality_score,headway_min,transfer_penalty_min,tokens,name,address
0,161,116.799397,39.943108,9,6,1,0,3.5000,6.00,0.00,301A 301B 503 811 813 816 817 819 930,燕灵路口(公交站),811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;快速直达专线9路;燕郊专线
1,108,116.816719,39.943815,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊迎宾路口(公交站),811路;816路;817路;930路
2,155,116.890820,39.950213,4,3,1,0,3.4900,6.00,0.00,503 816 817 930,东柳河屯(公交站),816路;817路;930路;三河503路
3,78,116.827044,39.944397,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊火车站口(公交站),811路;816路;817路;930路
4,150,116.799201,39.950973,4,3,1,0,3.4900,6.00,0.00,811 812 818 819,防灾科技学院(公交站),811路;812路;818路;818路(金桐西路);819路;燕郊专线
5,246,116.911389,39.953325,5,3,1,0,3.5000,6.00,0.00,113 503 816 817 930,夏垫(公交站),113路;816路;817路;930路;三河503路;大厂4路
6,43,116.838806,39.945667,4,4,1,0,3.4900,6.00,0.00,811 816 817 930,燕郊食品城(公交站),811路;816路;817路;930路
7,180,116.789907,39.947601,4,3,1,0,3.4900,6.00,0.00,812 814 818 882,潮白人家小区(公交站),812路;814路;818路;818路(金桐西路);882路
8,222,116.941406,39.957813,3,2,1,0,3.3300,6.00,0.00,503 816 930,大厂温泉度假村(公交站),816路;930路;三河503路
9,234,116.920282,39.954459,3,2,1,0,3.3300,6.00,0.00,503 816 930,燕北畜牧机械厂(公交站),816路;930路;三河503路
10,2,116.838168,39.958766,5,3,1,0,3.3000,6.00,0.00,301A 301B 813 814 882,上上城五期(公交站),813路;814路;882路;三河301A路;三河301B路;快速直达专线9路
11,122,116.805075,39.958450,2,2,1,0,3.1700,6.00,0.00,811 818,华北科技学院北门(公交站),811路;818路;818路(金桐西路)
12,77,116.866506,39.947930,2,2,1,0,3.1700,6.00,0.00,816 930,运河源建材城(公交站),816路;930路
13,197,116.780525,39.963097,10,2,1,1,3.1300,12.00,4.00,20 301A 301B 303 309 61 815 819 882 893,意华小区(公交站),(停运)三河旅游4线;(停运)燕潮夜市3路;815路大站快车;815路快;815路快(景辉南街);819路;882路;893路;三河301A路;三河301B路;三河303路;三河309路;临1路;城铁接驳1路;快速直达专线20路;快速直达专线61路;燕郊专线
14,36,116.850310,39.946772,6,1,1,0,3.0600,6.00,0.00,303 305 307 310 503 930,长城重机(公交站),930路;三河303路;三河305路;三河307路;三河310路;三河503路
15,344,116.962845,39.901833,2,2,1,0,2.8200,6.00,0.00,816 817,霍各庄(公交站),816路;817路
16,202,116.984207,39.966396,3,1,1,0,2.5800,6.00,0.00,503 507 930,直属库(公交站),930路;三河503路;三河507路
17,61,116.830348,39.973360,2,1,1,0,2.4200,6.00,0.00,818 893,天洋城总站(公交站),818路;818路(金桐西路);893路
18,69,116.820606,39.965132,1,1,1,0,2.2600,6.00,0.00,818,天洋城(公交站),818路;818路(金桐西路)
19,218,117.007713,39.971376,1,1,1,0,2.2600,6.00,0.00,930,李旗庄(公交站),930路
20,226,117.019492,39.975916,1,1,1,0,2.2600,6.00,0.00,930,蓝庄酒厂(公交站),930路
21,254,116.843652,39.930434,3,1,1,0,2.2300,6.00,0.00,811 812 894,燕郊总站(公交站),811路;812路;894路;燕郊专线
22,264,116.842359,39.937623,3,1,1,0,2.2300,6.00,0.00,811 812 894,燕郊冶金一局(公交站),811路;812路;894路;燕郊专线
23,216,116.951311,39.959635,4,1,1,1,2.0900,12.00,4.00,113 503 507 930,煤矿路口(公交站),(停运)三河旅游3线;113路;930路;三河503路;三河507路
24,345,116.953316,39.929558,2,1,1,0,2.0700,6.00,0.00,113 816,赵沟子村(公交站),113路;816路
25,358,116.930282,39.920993,1,1,1,0,1.9100,6.00,0.00,817,南寺头南路(公交站),817路
26,238,116.917999,39.944701,1,1,1,0,1.9100,6.00,0.00,817,夏垫镇政府(公交站),817路;大厂4路
27,337,116.954781,39.919777,1,1,1,0,1.9100,6.00,0.00,816,褚各庄(公交站),816路
28,219,116.950464,39.948637,1,1,1,0,1.9100,6.00,0.00,816,大厂东庄(公交站),816路
29,346,116.952617,39.909158,1,1,1,0,1.9100,6.00,0.00,817,褚各庄南(公交站),817路
30,348,116.951984,39.937930,1,1,1,0,1.9100,6.00,0.00,816,王果子村(公交站),816路
31,351,116.937546,39.914215,1,1,1,0,1.9100,6.00,0.00,817,土营(公交站),817路
32,176,116.789692,39.958959,1,1,1,0,1.9100,6.00,0.00,819,东方夏威夷小区东门(公交站),819路;燕郊专线
33,365,116.922577,39.934921,1,1,1,0,1.9100,6.00,0.00,817,大厂马坊(公交站),817路
34,132,116.808452,39.944028,5,0,0,0,1.8000,10.00,3.00,301A 301B 304 309 503,燕郊镇政府(公交站),三河301A路;三河301B路;三河304路;三河309路;三河503路
35,11,116.847790,39.953000,4,0,0,0,1.6400,10.00,3.00,301A 301B 307 310,电厂西门(公交站),三河301A路;三河301B路;三河307路;三河310路
36,175,116.791895,39.971619,4,0,0,0,1.6400,10.00,3.00,301A 301B 306 893,锦绣华庭小区(公交站),893路;三河301A路;三河301B路;三河306路
37,199,116.780924,39.971269,4,0,0,0,1.6400,10.00,3.00,301A 301B 306 893,燕京新城东(公交站),893路;三河301A路;三河301B路;三河306路
38,136,116.806448,39.974014,4,0,0,0,1.6400,10.00,3.00,301A 301B 307 501,华隆工业园(公交站),三河301A路;三河301B路;三河307路;三河501路
39,100,116.814114,39.951929,3,1,1,1,1.5800,12.00,4.00,302 811 812,北欧小镇(公交站),(停运)三河旅游3线;302路;811路;812路;城铁接驳2路
40,211,116.996345,39.968942,3,0,0,0,1.4800,10.00,3.00,503 507 515,农业园区(公交站),三河503路;三河507路;三河515路
41,85,116.821515,39.972290,3,0,0,0,1.4800,10.00,3.00,301A 301B 501,北巷口村西(公交站),三河301A路;三河301B路;三河501路
42,313,116.800692,39.912661,3,0,0,0,1.4800,10.00,3.00,308 503 894,西城子北(公交站),894路;三河308路;三河503路
43,274,116.820123,39.915841,3,0,0,0,1.4800,10.00,3.00,22 302 308,梦东方未来世界(公交站),302路;三河308路;大厂22路
44,232,117.029431,39.979692,6,0,0,1,1.3100,16.00,7.00,102 503 507 511 515 520,李枣林(公交站),(停运)三河511路;三河102路;三河503路;三河507路;三河515路;三河520路
45,59,116.833394,39.945182,3,3,1,0,3.3300,6.00,0.00,811 816 930,燕郊印刷城(公交站),811路;816路;930路
46,131,116.884852,39.949891,3,3,1,0,3.3300,6.00,0.00,816 817 930,三河李家务(公交站),816路;817路;930路
47,173,116.897899,39.951445,3,3,1,0,3.3300,6.00,0.00,816 817 930,大厂福喜公司(公交站),816路;817路;930路
48,230,116.928101,39.955761,3,2,1,0,3.3300,6.00,0.00,503 816 930,耀华佳苑(公交站),816路;930路;三河503路
49,101,116.812131,39.958398,2,2,1,0,3.1700,6.00,0.00,811 818,燕郊中美医院(公交站),811路;818路;818路(金桐西路)
50,381,117.045923,39.900134,1,0,0,0,1.1600,15.00,6.00,509,任官庄南(公交站),三河509路
51,285,116.822363,39.907253,2,0,0,1,0.6700,21.00,10.00,22 302,夏威夷蓝湾(公交站),(停运)三河旅游3线;302路;大厂22路
52,292,116.821239,39.936163,1,0,0,0,1.1600,15.00,6.00,304,半壁店南(公交站),三河304路
53,304,116.806732,39.923008,1,0,0,0,1.1600,15.00,6.00,401,交界庄西(公交站),三河401路
54,340,116.994998,39.936305,1,0,0,0,1.1600,15.00,6.00,512,何屯村东(公交站),512路
55,361,117.029362,39.930825,1,0,0,0,1.1600,15.00,6.00,502,范港村(公交站),502路
56,66,116.822388,39.953583,1,0,0,0,1.1600,15.00,6.00,307,二三派出所(公交站),三河307路;临1路
57,347,117.009686,39.929319,1,0,0,0,1.1600,15.00,6.00,515,田村(公交站),三河515路
58,299,116.809943,39.911946,1,0,0,0,1.1600,15.00,6.00,308,西蔡村南(公交站),三河308路
59,203,116.971550,39.963643,2,0,0,0,1.3200,15.00,6.00,503 507,华凯链条厂(公交站),三河503路;三河507路
60,160,116.796322,39.963858,1,0,0,0,1.1600,15.00,6.00,304,中赵甫南(公交站),三河304路;临1路
61,114,116.810681,39.965561,1,0,0,0,1.1600,15.00,6.00,306,紫竹园北门(公交站),三河306路;临1路
62,92,116.872876,39.967032,1,0,0,0,1.1600,15.00,6.00,310,南曹庄村东(公交站),三河310路
63,273,116.833530,39.937409,2,0,0,0,1.3200,15.00,6.00,812 894,燕郊冶金西区(公交站),812路;894路
64,243,117.044266,39.965469,1,0,0,0,1.1600,15.00,6.00,202,科达彩印公司(公交站),三河202路
65,15,116.851089,39.967274,1,0,0,0,1.1600,15.00,6.00,308,巨丰弘迪(公交站),三河308路
66,245,117.043903,39.949888,1,0,0,0,1.1600,15.00,6.00,509,化甲屯北(公交站),三河509路
67,336,116.968564,39.936315,1,0,0,0,1.1600,15.00,6.00,512,大景庄村(公交站),512路
68,353,117.015543,39.939631,1,0,0,0,1.1600,15.00,6.00,512,丁桥庄村委会(公交站),512路
69,282,116.871567,39.917130,1,0,0,0,1.1600,15.00,6.00,304,小石各庄(公交站),三河304支路
70,371,117.043787,39.925507,1,0,0,0,1.1600,15.00,6.00,509,大曹庄南(公交站),三河509路
71,333,116.998424,39.930178,1,0,0,0,1.1600,15.00,6.00,515,翟各庄村(公交站),三河515路
72,322,116.795561,39.936250,2,0,0,0,1.3200,15.00,6.00,308 503,燕达医院(公交站),三河308路;三河503路
73,302,116.814516,39.902669,2,0,0,1,0.6700,21.00,10.00,309 401,小柳店(公交站),(停运)三河旅游3线;三河309路;三河401路
74,38,116.838903,39.972800,1,0,0,0,1.1600,15.00,6.00,501,以诺实验学校(公交站),三河501路
75,210,116.990013,39.948529,1,0,0,0,1.1600,15.00,6.00,515,西辛店(公交站),三河515路
