id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV10000480,十里堡(公交站),"116.503967,39.915970",交通设施服务;公交车站;公交车站相关,150700,115路;135路;350路;419路;488路;605路;615路;639路;690路;95路;夜13路,110105,北京市,北京市,朝阳区,[]
BV10337133,十里堡(西行)(公交站),"116.503967,39.915970",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,[]
BV11386202,十里堡(快速公交站),"116.503563,39.915844",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,[]
BV10337132,十里堡(东行)(公交站),"116.502826,39.915672",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,四惠
BV10008129,十里堡路南口(公交站),"116.501927,39.916706",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,[]
BV10000479,东八里庄(公交站),"116.498436,39.915860",交通设施服务;公交车站;公交车站相关,150700,115路;135路;138路;350路;419路;488路;605路;615路;639路;690路;95路;夜13路,110105,北京市,北京市,朝阳区,慈云寺
BV11386193,东八里庄(快速公交站),"116.497700,39.915556",交通设施服务;公交车站;快速公交站,150704,115路;135路;138路;350路;419路;488路;605路;615路;639路;690路;95路;夜13路;快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,四惠
BV11493624,甘露园西(公交站),"116.512596,39.916241",交通设施服务;公交车站;公交车站相关,150700,115路;135路;488路;605路;639路;690路;95路;夜13路,110105,北京市,北京市,朝阳区,甘露园
BV10887363,甘露园西(东行)(公交站),"116.512535,39.915968",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,甘露园
BV10887365,甘露园西(西行)(公交站),"116.512596,39.916241",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,甘露园
BV10000483,甘露园(公交站),"116.514171,39.916365",交通设施服务;公交车站;公交车站相关,150700,135路;419路;488路;605路;615路;639路;夜13路,110105,北京市,北京市,朝阳区,甘露园
BV11386199,甘露园(快速公交站),"116.513870,39.916176",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,甘露园
BV10849640,十里堡路北口(公交站),"116.501926,39.921724",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,[]
BV10887366,甘露园(西行)(公交站),"116.514171,39.916365",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,甘露园
BV10007304,陈家林(公交站),"116.508580,39.907691",交通设施服务;公交车站;公交车站相关,150700,468路;475路;517路;666路;专167路;夜27路,110105,北京市,北京市,朝阳区,高碑店
BV10003000,十里堡北里(公交站),"116.503815,39.923119",交通设施服务;公交车站;公交车站相关,150700,126路;675路;682路;75路;991路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10006773,四惠站(公交站),"116.498476,39.908261",交通设施服务;公交车站;公交车站相关,150700,666路;夜27路,110105,北京市,北京市,朝阳区,高碑店
BV10000478,慈云寺(公交站),"116.493766,39.915719",交通设施服务;公交车站;公交车站相关,150700,115路;135路;138路;419路;488路;605路;615路;639路;690路;95路;夜13路,110105,北京市,北京市,朝阳区,慈云寺
BV11386207,慈云寺(快速公交站),"116.493678,39.915600",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,慈云寺
BV10887364,甘露园(东行)(公交站),"116.516113,39.916229",交通设施服务;公交车站;公交车站相关,150700,138路,110105,北京市,北京市,朝阳区,甘露园
BV10000556,八里庄南里(公交站),"116.498713,39.923075",交通设施服务;公交车站;公交车站相关,150700,126路;140路;486路;640路;682路;75路,110105,北京市,北京市,朝阳区,姚家园
BV10000649,四惠枢纽站(公交站),"116.497476,39.906981",交通设施服务;公交车站;公交车站相关,150700,1路;1路区间(公主坟);322路;322路快车;397路;405路;455路;468路;475路;496路;506路;517路;54路;553路;57路;58路;605路;657路;666路;671路;865路;988路;989路;专113路;专167路;夜1路;夜27路,110105,北京市,北京市,朝阳区,百子湾
BV10007303,四惠东站(公交站),"116.515022,39.908047",交通设施服务;公交车站;公交车站相关,150700,397路;468路;475路;506路;517路;553路;666路;夜27路,110105,北京市,北京市,朝阳区,四惠
BV11493636,石佛营路南口(公交站),"116.501884,39.925187",交通设施服务;公交车站;公交车站相关,150700,138路;140路;486路;640路;675路;991路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10617094,通惠桥西(公交站),"116.500187,39.905443",交通设施服务;公交车站;公交车站相关,150700,专167路,110105,北京市,北京市,朝阳区,四惠
BV10435440,通惠桥东(公交站),"116.512299,39.906075",交通设施服务;公交车站;公交车站相关,150700,专167路,110105,北京市,北京市,朝阳区,百子湾
BV11494463,甘露园北(公交站),"116.518329,39.918733",交通设施服务;公交车站;公交车站相关,150700,419路;451路;468路;75路;专194路;夜13路,110105,北京市,北京市,朝阳区,甘露园
BV11494441,青年路口西(公交站),"116.514914,39.923178",交通设施服务;公交车站;公交车站相关,150700,126路;675路;682路;75路;991路;专72路;夜3路,110105,北京市,北京市,朝阳区,甘露园
BV10000555,红领巾公园(公交站),"116.494152,39.923041",交通设施服务;公交车站;公交车站相关,150700,126路;140路;486路;640路;682路;75路,110105,北京市,北京市,朝阳区,慈云寺
BV11493611,甘露园东(公交站),"116.520113,39.916884",交通设施服务;公交车站;公交车站相关,150700,115路;135路;451路;468路;488路;605路;639路;690路;75路;95路;专194路,110105,北京市,北京市,朝阳区,甘露园
BV11294541,青年路口南(公交站),"116.517652,39.921771",交通设施服务;公交车站;公交车站相关,150700,451路;468路;75路;夜13路,110105,北京市,北京市,朝阳区,甘露园
BV11493626,慈云寺桥南(公交站),"116.489608,39.913326",交通设施服务;公交车站;公交车站相关,150700,400路内环;400路外环;400路快车外环;496路;605路;657路;671路;989路,110105,北京市,北京市,朝阳区,慈云寺
BV11493627,石佛营路(公交站),"116.501966,39.927331",交通设施服务;公交车站;公交车站相关,150700,138路;140路;486路;640路;675路;991路;夜3路,110105,北京市,北京市,朝阳区,姚家园
BV10427477,甘露园中街南口(公交站),"116.520897,39.917751",交通设施服务;公交车站;公交车站相关,150700,363路;专194路,110105,北京市,北京市,朝阳区,甘露园
BV10007585,红领巾桥南(公交站),"116.489497,39.920077",交通设施服务;公交车站;公交车站相关,150700,400路内环;400路外环;400路快车外环;496路;657路;690路,110105,北京市,北京市,朝阳区,慈云寺
BV10006488,康家沟(公交站),"116.522001,39.913286",交通设施服务;公交车站;公交车站相关,150700,115路;135路;363路;468路;517路;553路;75路;95路,110105,北京市,北京市,朝阳区,高碑店
BV10007768,天鹅湾小区(公交站),"116.520770,39.920024",交通设施服务;公交车站;公交车站相关,150700,363路;553路;605路;专194路,110105,北京市,北京市,朝阳区,甘露园
BV09429201,康家沟南(公交站),"116.521330,39.912351",交通设施服务;公交车站;公交车站相关,150700,115路,110105,北京市,北京市,朝阳区,高碑店
BV11494309,青年路口东(公交站),"116.519175,39.923099",交通设施服务;公交车站;公交车站相关,150700,363路;499路;675路;911路;991路;专194路,110105,北京市,北京市,朝阳区,甘露园
BV10332037,八里庄北里东站(公交站),"116.501016,39.928173",交通设施服务;公交车站;公交车站相关,150700,138路;140路;408路;486路,110105,北京市,北京市,朝阳区,北京甜水园
BV11386171,朝阳路太平庄(快速公交站),"116.522095,39.916950",交通设施服务;公交车站;快速公交站,150704,快速公交2线;快速公交2线区间,110105,北京市,北京市,朝阳区,[]
BV10000559,八里庄北里(公交站),"116.498474,39.928196",交通设施服务;公交车站;公交车站相关,150700,138路;140路;408路;486路,110105,北京市,北京市,朝阳区,姚家园
BV10000645,水南庄(公交站),"116.501549,39.900818",交通设施服务;公交车站;公交车站相关,150700,31路;439路;专113路;专87路,110105,北京市,北京市,朝阳区,南磨房
BV10420867,兴隆家园南区(公交站),"116.522474,39.910588",交通设施服务;公交车站;公交车站相关,150700,468路;553路,110105,北京市,北京市,朝阳区,高碑店
BV09451035,润枫水尚小区(公交站),"116.513444,39.927271",交通设施服务;公交车站;公交车站相关,150700,专72路,110105,北京市,北京市,朝阳区,姚家园
BV10000644,水南庄东站(公交站),"116.505376,39.900806",交通设施服务;公交车站;公交车站相关,150700,专113路;专87路,110105,北京市,北京市,朝阳区,百子湾
BV11494457,朝阳路太平庄(公交站),"116.523746,39.917309",交通设施服务;公交车站;公交车站相关,150700,350路;451路;488路;517路;615路;639路;690路,110105,北京市,北京市,朝阳区,[]
BV10009116,华纺易城公交场站(公交站),"116.509804,39.928944",交通设施服务;公交车站;公交车站相关,150700,363路,110105,北京市,北京市,朝阳区,姚家园
