id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
B0FFHF0PD4,十里堡乙2号院,"116.505581,39.914430",商务住宅;住宅区;住宅小区,120302,十里堡乙2号,110105,北京市,北京市,朝阳区,四惠
B0FFM141S8,十里堡家园,"116.506229,39.916341",商务住宅;住宅区;住宅小区,120302,[],110105,北京市,北京市,朝阳区,甘露园
B000A8WA4K,城市广场,"116.502823,39.914628",商务住宅;住宅区;住宅小区,120302,十里堡甲3号院1号楼-3号楼,110105,北京市,北京市,朝阳区,四惠
B000AA0OQW,中泰雅轩,"116.505242,39.916837",商务住宅;住宅区;住宅小区,120302,十里堡路,110105,北京市,北京市,朝阳区,甘露园
B0FFGPOAW0,十里堡甲3号院,"116.502697,39.914675",商务住宅;住宅区;住宅小区,120302,朝阳路十里堡甲3号院,110105,北京市,北京市,朝阳区,四惠
B000A8UUTO,首创·爱这城甲2号院,"116.505577,39.912610",商务住宅;住宅区;住宅小区,120302,十里堡甲2号,110105,北京市,北京市,朝阳区,四惠
B000A7Y5RO,甘露西园,"116.508118,39.915183",商务住宅;住宅区;住宅小区,120302,八里庄,110105,北京市,北京市,朝阳区,四惠
B000A7HF41,都会华庭,"116.502515,39.913168",商务住宅;住宅区;住宅小区,120302,十里堡甲3号院,110105,北京市,北京市,朝阳区,四惠
B000A81GYJ,京棉新城南区,"116.506787,39.917189",商务住宅;住宅区;住宅小区,120302,朝阳路辅路与十里堡南里东路交叉口北160米,110105,北京市,北京市,朝阳区,甘露园
B0J1574CJ7,十里堡,"116.502242,39.916485",商务住宅;住宅区;住宅小区,120302,十里堡路与朝阳路辅路交叉口东北60米,110105,北京市,北京市,朝阳区,甘露园
B0FFL5WDAH,水电四局家属院小区,"116.507922,39.916157",商务住宅;住宅区;住宅小区,120302,朝阳路辅路与十里堡南里东路交叉口东北60米,110105,北京市,北京市,朝阳区,[]
B000A81FVM,十里堡东里,"116.505350,39.917969",商务住宅;住宅区;住宅小区,120302,朝阳路(华堂商场对面)(十里堡地铁站D西南口步行490米),110105,北京市,北京市,朝阳区,甘露园
B0FFI0YRX9,北京501文艺公寓,"116.502064,39.916540",商务住宅;住宅区;住宅小区,120302,十里堡五十号楼501号,110105,北京市,北京市,朝阳区,甘露园
B000A8VXZO,首创·爱这城甲1号院,"116.507794,39.912405",商务住宅;住宅区;住宅小区,120302,[],110105,北京市,北京市,朝阳区,四惠
B0JRJXI3NT,首创爱这城,"116.507080,39.912396",商务住宅;住宅区;住宅区,120300,十里堡南里东路与爱棉街交叉口南120米,110105,北京市,北京市,朝阳区,四惠
B000A83CIH,东恒时代三期,"116.502225,39.911875",商务住宅;住宅区;住宅小区,120302,地铁1号线四惠站北600米,110105,北京市,北京市,朝阳区,四惠
B000AA16GE,普乐门公寓,"116.509835,39.913176",商务住宅;住宅区;住宅小区,120302,高碑店乡陈家林甲2号,110105,北京市,北京市,朝阳区,高碑店
B000A84KQ5,京棉新城北区,"116.504626,39.919147",商务住宅;住宅区;住宅小区,120302,十里堡东里,110105,北京市,北京市,朝阳区,甘露园
B0FFGM0CD6,京棉新城东区,"116.502674,39.918894",商务住宅;住宅区;住宅小区,120302,十里堡西二巷8号,110105,北京市,北京市,朝阳区,甘露园
B000A843VS,天天朝阳,"116.509877,39.917486",商务住宅;住宅区;住宅小区,120302,甘露园西里8号,110105,北京市,北京市,朝阳区,甘露园
B000A8VXZJ,惠润园,"116.503886,39.909780",商务住宅;住宅区;住宅小区,120302,高碑店街道通惠家园社区,110105,北京市,北京市,朝阳区,高碑店
B000A7WHHF,甘露园2号院,"116.511386,39.916723",商务住宅;住宅区;住宅小区,120302,朝阳路,110105,北京市,北京市,朝阳区,甘露园
B0IG1CERYJ,东恒时代二期A区,"116.499609,39.911790",商务住宅;住宅区;住宅小区,120302,力源里北街与十里堡南里西路交叉口西北140米,110105,北京市,北京市,朝阳区,慈云寺
B000A8W27L,通惠家园社区,"116.506193,39.909509",商务住宅;住宅区;社区中心,120304,[],110105,北京市,北京市,朝阳区,四惠
B0FFF39AK9,甘露园西里,"116.511606,39.916372",商务住宅;住宅区;住宅小区,120302,朝阳路辅路与甘露园南里路交叉口东北100米,110105,北京市,北京市,朝阳区,甘露园
B000AA4I2O,八里庄东里社区,"116.498750,39.918093",商务住宅;住宅区;住宅小区,120302,朝阳四惠八里庄东里,110105,北京市,北京市,朝阳区,慈云寺
B000A87OAW,惠生园,"116.508145,39.909576",商务住宅;住宅区;住宅小区,120302,通惠家园社区,110105,北京市,北京市,朝阳区,四惠
B000A84FDG,东恒时代二期,"116.498441,39.911855",商务住宅;住宅区;住宅小区,120302,八里庄东里甲1号院和甲2号院,110105,北京市,北京市,朝阳区,慈云寺
B0LR15TU75,朝阳无限·芳菁苑,"116.512007,39.917780",商务住宅;住宅区;住宅小区,120302,青年西路与朝阳路辅路交叉口西北200米,110105,北京市,北京市,朝阳区,甘露园
B000A84D54,新华联丽景,"116.504725,39.920983",商务住宅;住宅区;住宅小区,120302,朝阳北路68号(十里堡地铁站D西南口步行500米),110105,北京市,北京市,朝阳区,甘露园
B000A8VZ0D,惠泽园,"116.501174,39.909641",商务住宅;住宅区;住宅小区,120302,建国路(四惠地铁站东),110105,北京市,北京市,朝阳区,高碑店
B000AAF29P,甘露园南里一区,"116.513050,39.915157",商务住宅;住宅区;住宅小区,120302,高碑店朝阳路,110105,北京市,北京市,朝阳区,高碑店
B000AA68VC,东恒时代,"116.498283,39.911518",商务住宅;住宅区;住宅小区,120302,十里堡甲3号院,110105,北京市,北京市,朝阳区,四惠
B000A8UJIR,壹线国际,"116.503964,39.908752",商务住宅;住宅区;住宅小区,120302,地铁一号线四惠站,110105,北京市,北京市,朝阳区,四惠
B000A9PHFI,十里堡北里小区,"116.505903,39.921784",商务住宅;住宅区;住宅小区,120302,东四环红领巾公园东一公里(十里堡地铁站C东南口步行160米),110105,北京市,北京市,朝阳区,甘露园
B0J6AATRPA,陈家林9号院,"116.512380,39.912053",商务住宅;住宅区;住宅小区,120302,甘露园南里路与朝阳路辅路交叉口东南460米,110105,北京市,北京市,朝阳区,四惠
B0IG1CFQIZ,东恒时代二期B区,"116.497033,39.911814",商务住宅;住宅区;住宅小区,120302,力源里北街与慈云寺东路交叉口东北120米,110105,北京市,北京市,朝阳区,慈云寺
B0FFIYWE84,8号大院,"116.510266,39.920781",商务住宅;住宅区;住宅小区,120302,中商惠民超市往西20米,110105,北京市,北京市,朝阳区,甘露园
B000A84J87,八里庄东里北巷,"116.497748,39.919893",商务住宅;住宅区;住宅小区,120302,二道沟河路与朝阳北路辅路交叉口东南360米,110105,北京市,北京市,朝阳区,慈云寺
B0K3OMWFA6,甘露园南里,"116.514755,39.915486",商务住宅;住宅区;住宅小区,120302,朝阳路辅路与青年西路交叉口东南160米,110105,北京市,北京市,朝阳区,甘露园
B0IB2L0FY2,慈云寺北里社区,"116.495399,39.916240",商务住宅;住宅区;住宅小区,120302,慈云寺北里118号楼凯德汇新大厦东北角,110105,北京市,北京市,朝阳区,慈云寺
B000A8W1BC,惠民园,"116.512112,39.909495",商务住宅;住宅区;住宅小区,120302,东四环四惠桥(四惠东地铁站B北口步行470米),110105,北京市,北京市,朝阳区,四惠
B000A8UVDC,金地·名京,"116.497070,39.909967",商务住宅;住宅区;住宅小区,120302,力源里北街2号(四惠地铁站C1东北口步行200米),110105,北京市,北京市,朝阳区,高碑店
B0FFGM045F,京棉新城A1区南区,"116.495204,39.917414",商务住宅;住宅区;住宅小区,120302,八里庄路与朝阳路辅路交叉口北200米,110105,北京市,北京市,朝阳区,慈云寺
B000A81K80,甘露家园,"116.514948,39.917655",商务住宅;住宅区;住宅小区,120302,[],110105,北京市,北京市,朝阳区,甘露园
B000A845BO,八里庄南里小区,"116.498614,39.921821",商务住宅;住宅区;住宅小区,120302,六里屯朝阳北路(十里堡地铁站D西南口步行130米),110105,北京市,北京市,朝阳区,慈云寺
B000A8W6GR,京棉新城A1区,"116.495146,39.918334",商务住宅;住宅区;住宅小区,120302,八里庄路与朝阳路辅路交叉口北300米,110105,北京市,北京市,朝阳区,慈云寺
B0FFF5BJZH,京棉新城三厂,"116.495140,39.917610",商务住宅;住宅区;住宅小区,120302,慈云寺北里111号,110105,北京市,北京市,朝阳区,慈云寺
B000A9Q4T0,金地·名京B座,"116.495838,39.910453",商务住宅;楼宇;商务写字楼|商务住宅;住宅区;住宅小区,120201|120302,力源里北街2号院3(四惠地铁站E北口步行210米),110105,北京市,北京市,朝阳区,高碑店
B0JGRZ7RUM,京棉新城,"116.495295,39.918682",商务住宅;住宅区;住宅小区,120302,八里庄路与朝阳路辅路交叉口北320米,110105,北京市,北京市,朝阳区,慈云寺
B000A7VQYV,十里堡南区,"116.505317,39.923649",商务住宅;住宅区;住宅小区,120302,十里堡朝阳北路(十里堡地铁站B东北口步行140米),110105,北京市,北京市,朝阳区,姚家园
B000AA4OFG,远洋天地二期,"116.494350,39.912069",商务住宅;住宅区;住宅小区,120302,东八里庄西里一号院,110105,北京市,北京市,朝阳区,四惠
B0FFGLZUGT,京棉新城A1区北区,"116.495097,39.919211",商务住宅;住宅区;住宅小区,120302,八里庄路与朝阳路辅路交叉口北380米,110105,北京市,北京市,朝阳区,慈云寺
B000A88E5Y,碧水星阁,"116.497066,39.921329",商务住宅;住宅区;住宅小区,120302,八里庄南里31号,110105,北京市,北京市,朝阳区,慈云寺
B0G30UJZMK,幸福大院,"116.513363,39.920620",商务住宅;住宅区;住宅小区,120302,青年西路甘露园物美超市桥北,110105,北京市,北京市,朝阳区,甘露园
