id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV10935689,福成五期北门(公交站),"116.844801,39.960456",交通设施服务;公交车站;公交车站相关,150700,(停运)燕潮夜市2线;三河308路,131082,河北省,廊坊市,三河市,[]
BV10935690,福成五期北院(公交站),"116.841422,39.960217",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,海油大街
BV10423041,上上城五期(公交站),"116.838168,39.958766",交通设施服务;公交车站;公交车站相关,150700,813路;814路;882路;三河301A路;三河301B路;快速直达专线9路,131082,河北省,廊坊市,三河市,海油大街
BV10935693,雪花啤酒厂(公交站),"116.850048,39.963203",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,[]
BV10588792,赵辛庄南(公交站),"116.843830,39.955040",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路;临1路,131082,河北省,廊坊市,三河市,[]
BV10759535,公交第二分公司(公交站),"116.848617,39.954953",交通设施服务;公交车站;公交车站相关,150700,(停运)燕潮夜市2线;三河301A路;三河301B路;三河307路;三河310路;临1路;城铁接驳3路,131082,河北省,廊坊市,三河市,[]
BV09048537,第二分公司(公交站),"116.848250,39.954950",交通设施服务;公交车站;公交车站相关,150700,三河301B路;三河307路,131082,河北省,廊坊市,三河市,[]
BV10761954,上上城五期西门(公交站),"116.838375,39.956866",交通设施服务;公交车站;公交车站相关,150700,(停运)燕潮夜市2线;三河301A路;三河301B路;城铁接驳3路,131082,河北省,廊坊市,三河市,[]
BV10588776,青年社区(公交站),"116.837587,39.962300",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路;城铁接驳3路,131082,河北省,廊坊市,三河市,[]
BV10761951,上上城五期南门(公交站),"116.840412,39.954750",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路;临1路;城铁接驳3路,131082,河北省,廊坊市,三河市,[]
BV11301480,第七小学西口(公交站),"116.850681,39.965359",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,[]
BV10416955,电厂西门(公交站),"116.847790,39.953000",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路;三河307路;三河310路,131082,河北省,廊坊市,三河市,[]
BV10801393,实验小学(公交站),"116.835663,39.959835",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,海油大街
BV10759533,早市(公交站),"116.837901,39.954553",交通设施服务;公交车站;公交车站相关,150700,(停运)三河旅游3线;三河307路;临1路,131082,河北省,廊坊市,三河市,[]
BV10417011,华冠产业园(公交站),"116.837044,39.965959",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路,131082,河北省,廊坊市,三河市,[]
BV10935691,巨丰弘迪(公交站),"116.851089,39.967274",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,[]
BV10759529,忆江南西门(公交站),"116.839419,39.951650",交通设施服务;公交车站;公交车站相关,150700,(停运)三河旅游3线;(停运)燕潮夜市2线;三河307路,131082,河北省,廊坊市,三河市,行宫东大街
BV10590211,电厂院(公交站),"116.844748,39.950500",交通设施服务;公交车站;公交车站相关,150700,三河303路,131082,河北省,廊坊市,三河市,行宫东大街
BV10800665,冶科金属(公交站),"116.832530,39.957584",交通设施服务;公交车站;公交车站相关,150700,三河306路;三河401路,131082,河北省,廊坊市,三河市,[]
BV10800675,欧森工业园(公交站),"116.832001,39.961646",交通设施服务;公交车站;公交车站相关,150700,三河306路;三河401路,131082,河北省,廊坊市,三河市,[]
BV09059112,忆江南(公交站),"116.841451,39.950215",交通设施服务;公交车站;公交车站相关,150700,三河303路,131082,河北省,廊坊市,三河市,五期
BV10758318,行宫大街东口(公交站),"116.847870,39.949551",交通设施服务;公交车站;公交车站相关,150700,三河301B路;三河303路;三河307路;三河310路,131082,河北省,廊坊市,三河市,[]
BV10801411,羊绒衫厂(公交站),"116.831263,39.959556",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,海油大街
BV10588778,行宫东大街东口(公交站),"116.847870,39.949551",交通设施服务;公交车站;公交车站相关,150700,三河301A路,131082,河北省,廊坊市,三河市,[]
BV10800661,辅仁医院(公交站),"116.831573,39.963928",交通设施服务;公交车站;公交车站相关,150700,三河306路;三河401路,131082,河北省,廊坊市,三河市,[]
BV10800670,康达医院(公交站),"116.833135,39.953593",交通设施服务;公交车站;公交车站相关,150700,三河306路;三河401路,131082,河北省,廊坊市,三河市,学院大街
BV09442052,燕高路亿丰大街路口(公交站),"116.836626,39.968813",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路,131082,河北省,廊坊市,三河市,[]
BV10759536,王各庄小区(公交站),"116.832262,39.954200",交通设施服务;公交车站;公交车站相关,150700,三河307路;临1路,131082,河北省,廊坊市,三河市,学院大街
BV09032366,上上城二期(公交站),"116.836519,39.949966",交通设施服务;公交车站;公交车站相关,150700,813路;814路;燕郊专线,131082,河北省,廊坊市,三河市,五期
BV10590202,福成公寓(公交站),"116.836519,39.949966",交通设施服务;公交车站;公交车站相关,150700,三河303路,131082,河北省,廊坊市,三河市,行宫东大街
BV10935688,兴恒达检测场(公交站),"116.851936,39.970760",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,[]
BV10801413,电子四十五所(公交站),"116.829271,39.959405",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,海油大街
BV10800667,森隆药业(公交站),"116.831291,39.965891",交通设施服务;公交车站;公交车站相关,150700,三河401路,131082,河北省,廊坊市,三河市,[]
BV10800669,出入境检疫局(公交站),"116.833572,39.950638",交通设施服务;公交车站;公交车站相关,150700,三河306路;三河401路,131082,河北省,廊坊市,三河市,行宫东大街
BV11127549,发盖子村北(公交站),"116.844824,39.972944",交通设施服务;公交车站;公交车站相关,150700,三河501路,131082,河北省,廊坊市,三河市,[]
BV10081597,燕郊住达集团(公交站),"116.843658,39.946102",交通设施服务;公交车站;公交车站相关,150700,816路;930路,131082,河北省,廊坊市,三河市,[]
BV10570247,京东公寓(公交站),"116.840358,39.947130",交通设施服务;公交车站;公交车站相关,150700,(停运)燕潮夜市2线;三河307路,131082,河北省,廊坊市,三河市,[]
BV10588774,住达集团(公交站),"116.844865,39.946280",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路;三河305路;三河503路,131082,河北省,廊坊市,三河市,[]
BV10081620,长城重机(公交站),"116.850310,39.946772",交通设施服务;公交车站;公交车站相关,150700,930路;三河303路;三河305路;三河307路;三河310路;三河503路,131082,河北省,廊坊市,三河市,[]
BV10800662,中誉电气(公交站),"116.831108,39.968018",交通设施服务;公交车站;公交车站相关,150700,三河401路,131082,河北省,廊坊市,三河市,[]
BV11127541,以诺实验学校(公交站),"116.838903,39.972800",交通设施服务;公交车站;公交车站相关,150700,三河501路,131082,河北省,廊坊市,三河市,[]
BV10935692,发盖子村东(公交站),"116.852451,39.972484",交通设施服务;公交车站;公交车站相关,150700,三河308路,131082,河北省,廊坊市,三河市,[]
BV10759247,金日冷却(公交站),"116.836189,39.971845",交通设施服务;公交车站;公交车站相关,150700,三河301A路;三河301B路,131082,河北省,廊坊市,三河市,[]
BV10759537,普罗旺斯南(公交站),"116.828176,39.953898",交通设施服务;公交车站;公交车站相关,150700,三河307路;临1路,131082,河北省,廊坊市,三河市,学院大街
BV09044608,鼎盛家园东门(公交站),"116.834011,39.948331",交通设施服务;公交车站;公交车站相关,150700,三河306路;城铁接驳3路;快速直达专线9路,131082,河北省,廊坊市,三河市,行宫东大街
BV10081598,燕郊食品城(公交站),"116.838806,39.945667",交通设施服务;公交车站;公交车站相关,150700,811路;816路;817路;930路,131082,河北省,廊坊市,三河市,[]
