id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
BV11032010,恒惠路(公交站),"116.455868,39.905942",交通设施服务;公交车站;公交车站相关,150700,804路;806路;807大方居通勤班车;807路;快速直达专线20路;快速直达专线5路;快速直达专线61路;快速直达专线9路,110105,北京市,北京市,朝阳区,建国门
BV10001170,大北窑西(公交站),"116.454957,39.908496",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1路;1路;1路区间(公主坟);28路;58路;668路;804路;806路;807路;9路;夜1路;快速直达专线5路,110105,北京市,北京市,朝阳区,国贸
BV11494316,通惠河北路(公交站),"116.459763,39.904423",交通设施服务;公交车站;公交车站相关,150700,快速直达专线5路,110105,北京市,北京市,朝阳区,建外大街
BV09344555,国贸地铁站(公交站),"116.459242,39.908658",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班,110105,北京市,北京市,朝阳区,国贸
BV11494433,庆丰公园(公交站),"116.461385,39.903086",交通设施服务;公交车站;公交车站相关,150700,805路快;938路快车,110105,北京市,北京市,朝阳区,双井
BV10001299,大北窑南(公交站),"116.461982,39.904896",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1号线;113路;28路;348路;368路内环;368路外环;402路;561路;57路;669路;687路;687路快车;72路;804路;805路快;806路;807大方居通勤班车;807路;814路;818路;848路;938路快区间;938路快车;98路;专10路;夜30路内;夜30路外;夜间农业展览馆线(夜航2线);首都机场巴士北京南站线,110105,北京市,北京市,朝阳区,国贸
BV09177230,国贸(公交站),"116.462235,39.906471",交通设施服务;公交车站;公交车站相关,150700,(停运)国贸公交站至慕田峪长城旅游专线,110105,北京市,北京市,朝阳区,建外大街
BV10001176,永安里路口西(公交站),"116.446680,39.908420",交通设施服务;公交车站;公交车站相关,150700,120路;126路;140路;1路;1路区间(公主坟);39路;58路;668路;9路;夜1路;夜24路,110105,北京市,北京市,朝阳区,建外大街
BV10006853,永安里路口北(公交站),"116.450352,39.911380",交通设施服务;公交车站;公交车站相关,150700,120路;126路;140路;28路;39路;403路;639路;夜24路,110105,北京市,北京市,朝阳区,建外大街
BV09080469,国贸三期(公交站),"116.457733,39.912193",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车一号线早班;CBD免费商务班车一号线晚班,110105,北京市,北京市,朝阳区,国贸
BV10006275,大北窑北(公交站),"116.462140,39.911233",交通设施服务;公交车站;公交车站相关,150700,(停运)高铁专线1号线;113路;368路内环;368路外环;402路;405路;488路;650路;687路;687路快车;98路;夜30路外,110105,北京市,北京市,朝阳区,建外大街
BV10001120,大北窑东(公交站),"116.464883,39.908598",交通设施服务;公交车站;公交车站相关,150700,11路;1路;1路区间(公主坟);382路;388路;388路快车;405路;57路;666路;667路;668路;668路区间快车;804路;806路;807大方居通勤班车;807路;809路;809路华龙班车;夜1路;夜27路;快速直达专线20路;快速直达专线5路;快速直达专线61路;快速直达专线9路,110105,北京市,北京市,朝阳区,大望路
BV10424743,天力街西口(公交站),"116.451940,39.897426",交通设施服务;公交车站;公交车站相关,150700,专165路;专87路,110105,北京市,北京市,朝阳区,广渠门
BV09141959,国贸中心(公交站),"116.460533,39.911855",交通设施服务;公交车站;公交车站相关,150700,CBD免费商务班车商圈线,110105,北京市,北京市,朝阳区,建外大街
BV11472778,天力街(公交站),"116.457490,39.897296",交通设施服务;公交车站;公交车站相关,150700,专87路,110105,北京市,北京市,朝阳区,广渠门
BV10006296,双花园(公交站),"116.461765,39.898031",交通设施服务;公交车站;公交车站相关,150700,28路;348路;561路;57路;669路;72路;专10路;夜30路内;夜30路外,110105,北京市,北京市,朝阳区,双井
