id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area,search_keyword
B013C0IE86,天洋城,"116.821219,39.965360",商务住宅;住宅区;住宅小区,120302,亿丰大街30号,131082,河北省,廊坊市,三河市,[],天洋城
B0FFF9DW36,天洋城南区,"116.821503,39.963552",商务住宅;住宅区;住宅小区,120302,汉王路324号,131082,河北省,廊坊市,三河市,[],天洋城
B013C15FSP,天洋城4代,"116.823713,39.918403",商务住宅;住宅区;住宅区,120300,迎宾路附近,131082,河北省,廊坊市,三河市,[],天洋城
B013C0IEIW,天洋城东区,"116.822844,39.967109",商务住宅;住宅区;住宅小区,120302,亿丰大街16号,131082,河北省,廊坊市,三河市,[],天洋城
BV10421850,天洋城(公交站),"116.820606,39.965132",交通设施服务;公交车站;公交车站相关,150700,818路;818路(金桐西路),131082,河北省,廊坊市,三河市,[],天洋城
BV11169756,天洋城小区(公交站),"116.818263,39.965418",交通设施服务;公交车站;公交车站相关,150700,(停运)三河旅游3线;三河306路,131082,河北省,廊坊市,三河市,迎宾路,天洋城
B0FFJYJ708,天洋城2号公寓,"116.822446,39.964526",商务住宅;住宅区;住宅小区,120302,汉王路34号,131082,河北省,廊坊市,三河市,[],天洋城
B0FFHCDCRG,天洋城4代二期,"116.822357,39.921497",商务住宅;住宅区;住宅小区,120302,迎宾路附近,131082,河北省,廊坊市,三河市,[],天洋城
B0FFGARKLY,天洋城4代商业街,"116.823791,39.916148",购物服务;特色商业街;特色商业街,061000,迎宾路附近,131082,河北省,廊坊市,三河市,[],天洋城
B0FFGCI2TF,天洋城4代北区,"116.823690,39.919245",商务住宅;住宅区;住宅小区,120302,康城大街,131082,河北省,廊坊市,三河市,[],天洋城
B0FFI8JXJG,天洋城西区,"116.819079,39.967035",商务住宅;住宅区;住宅小区,120302,天洋广场西北120米,131082,河北省,廊坊市,三河市,[],天洋城
BV11194343,天洋城东门(公交站),"116.825077,39.966146",交通设施服务;公交车站;公交车站相关,150700,三河305路,131082,河北省,廊坊市,三河市,[],天洋城
B0FFGPGMKH,天洋城4代南区,"116.824700,39.914843",商务住宅;住宅区;住宅区,120300,燕郊天洋城四代魔方街111-112商铺西南方向,131082,河北省,廊坊市,三河市,[],天洋城
B0FFIWMPZX,天洋城1号公寓,"116.820019,39.964599",商务住宅;楼宇;商住两用楼宇,120203,燕郊经济技术开发区燕郊镇天洋广场,131082,河北省,廊坊市,三河市,[],天洋城
B0L1ANI5HG,天洋城C座,"116.821825,39.964875",商务住宅;楼宇;商务写字楼,120201,亚泰大街与汉王路交叉口西280米,131082,河北省,廊坊市,三河市,[],天洋城
BV09412938,天洋城总站(公交站),"116.830348,39.973360",交通设施服务;公交车站;公交车站相关,150700,818路;818路(金桐西路);893路,131082,河北省,廊坊市,三河市,[],天洋城
BV09123947,天洋城广场(公交站),"116.823463,39.965183",交通设施服务;公交车站;公交车站相关,150700,三河306路,131082,河北省,廊坊市,三河市,[],天洋城
B0MA11GPVQ,天洋城4代A区,"116.822810,39.968828",商务住宅;住宅区;住宅小区,120302,亿丰大街与汉王路交叉口西180米,131082,河北省,廊坊市,三河市,[],天洋城
B013C15F1E,天洋城3期,"116.817320,39.965120",商务住宅;商务住宅相关;商务住宅相关,120000,迎宾路与金燕大街交叉口东北500米,131082,河北省,廊坊市,三河市,迎宾路,天洋城
B0FFFYTB0D,天洋城停车场,"116.823588,39.965224",交通设施服务;停车场;路边停车场,150906,亚泰大街附近,131082,河北省,廊坊市,三河市,[],天洋城
BV10081603,燕灵路口(公交站),"116.799397,39.943108",交通设施服务;公交车站;公交车站相关,150700,811路;813路;816路;817路;819路;930路;三河301A路;三河301B路;三河503路;快速直达专线9路;燕郊专线,131082,河北省,廊坊市,三河市,[],燕灵路口
B0FFLKWQNQ,京哈公路与燕灵路交叉口,"116.801885,39.943519",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,[],燕灵路口
BV09271832,燕灵小区东门(燕灵路口)(公交站),"116.801566,39.944922",交通设施服务;公交车站;公交车站相关,150700,三河401路,131082,河北省,廊坊市,三河市,[],燕灵路口
B0FFGG8TA8,燕灵路与神威北路交叉口,"116.796013,39.971630",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,燕灵路,燕灵路口
B0FFGQCPRK,和平路与燕灵路交叉口,"116.807275,39.919726",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,[],燕灵路口
B0FFHPLE0C,燕新大街与燕灵路交叉口,"116.794853,39.986448",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,[],燕灵路口
B0FFGGKX0X,北蔡街与燕灵路交叉口,"116.796910,39.959613",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,海油大街,燕灵路口
B0FFLL33XN,化工大街与燕灵路交叉口,"116.793097,39.997445",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,[],燕灵路口
B0FFLKYNWW,潮白大街与燕灵路交叉口,"116.794035,39.990803",地名地址信息;交通地名;路口名,190302,三河市,131082,河北省,廊坊市,三河市,[],燕灵路口
