id,name,location,type,typecode,address,adcode,pname,cityname,adname,business_area
B013C0IPMV,福城上上城五期,"116.842690,39.958296",商务住宅;住宅区;住宅小区,120302,学院大街1289号,131082,河北省,廊坊市,三河市,五期
B0KKDS4YTU,福城上上城五期南院,"116.843620,39.957822",商务住宅;住宅区;住宅小区,120302,学院大街与隆达路交叉口西北320米,131082,河北省,廊坊市,三河市,[]
B0FFG0IMK7,福城上上城五期北院,"116.841572,39.961004",商务住宅;住宅区;住宅小区,120302,海油大街,131082,河北省,廊坊市,三河市,五期
B0FFG7U3TO,上上城青年社区,"116.840279,39.963512",商务住宅;住宅区;住宅小区,120302,亚泰大街2号,131082,河北省,廊坊市,三河市,[]
B0LK1ZDDRF,汀兰阁,"116.850751,39.959098",商务住宅;住宅区;住宅小区,120302,福成路116号,131082,河北省,廊坊市,三河市,[]
B0MBXUZ2O1,汇友足球公园公寓,"116.850025,39.957275",商务住宅;住宅区;住宅小区,120302,福成路与学院大街交叉口东北280米,131082,河北省,廊坊市,三河市,[]
B0J3U5XYCH,青一南社区,"116.840461,39.963226",商务住宅;住宅区;社区中心,120304,华冠大街29a-1-102号,131082,河北省,廊坊市,三河市,[]
B0KKS73Z32,上上城青年社区六期,"116.840178,39.963870",商务住宅;住宅区;住宅小区,120302,燕高路与华冠大街交叉口东南300米,131082,河北省,廊坊市,三河市,[]
B0K3OZW88V,福城上上城,"116.837607,39.958721",商务住宅;住宅区;住宅小区,120302,燕高路与海油大街交叉口南140米,131082,河北省,廊坊市,三河市,海油大街
B0MBAC9RTO,福成五期北区社区,"116.838079,39.961136",商务住宅;住宅区;住宅区,120300,燕高路与海油大街交叉口北120米,131082,河北省,廊坊市,三河市,海油大街
B0LBRSD62G,福翰园,"116.840325,39.964075",商务住宅;住宅区;住宅小区,120302,燕高路与华冠大街交叉口东300米,131082,河北省,廊坊市,三河市,[]
B013C14AHK,福城上上城五期西院,"116.837201,39.958479",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区,131082,河北省,廊坊市,三河市,五期
B0MG9HPAD0,福城3期,"116.841527,39.954794",商务住宅;住宅区;住宅小区,120302,学院大街与燕高路交叉口东240米,131082,河北省,廊坊市,三河市,[]
B0JR0SPZS3,华泰忆江南花园小区A区,"116.844047,39.953432",商务住宅;住宅区;住宅小区,120302,学院大街与隆达路交叉口西南220米,131082,河北省,廊坊市,三河市,[]
B0JUGMAAH1,实验小学家属院,"116.836391,39.959347",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区,131082,河北省,廊坊市,三河市,五期
B0JR0SRHRI,华泰忆江南花园小区B区,"116.842610,39.953363",商务住宅;住宅区;住宅小区,120302,学院大街与隆达路交叉口西南300米,131082,河北省,廊坊市,三河市,[]
B013C0IELD,华泰忆江南花园小区,"116.842091,39.952826",商务住宅;住宅区;住宅小区,120302,燕郊燕高路与行宫东大街交叉口北行130米路东,131082,河北省,廊坊市,三河市,[]
B0M6XURC8W,燕郊尊玺,"116.839025,39.965475",商务住宅;住宅区;住宅小区,120302,华冠大街与燕高路交叉口东160米,131082,河北省,廊坊市,三河市,[]
B0L31OWN4P,福成五期南区社区,"116.838309,39.954688",商务住宅;住宅区;住宅区,120300,学院大街与燕高路交叉口西40米,131082,河北省,廊坊市,三河市,[]
B0LGP9TD6D,风机厂家属院,"116.839925,39.952925",商务住宅;住宅区;住宅小区,120302,燕高路与学院大街交叉口东南220米,131082,河北省,廊坊市,三河市,[]
B0JB31BZWW,华泰忆江南花园小区C区,"116.840819,39.951991",商务住宅;住宅区;住宅小区,120302,燕高路与行宫东大街交叉口东北220米,131082,河北省,廊坊市,三河市,[]
B013C145NH,电厂小区,"116.842467,39.951331",商务住宅;住宅区;住宅小区,120302,燕郊行宫东大街,131082,河北省,廊坊市,三河市,五期
B0LK0R9FRU,辅仁医院宿舍楼,"116.834425,39.962675",商务住宅;住宅区;宿舍,120303,燕昌路与华冠大街交叉口东南360米,131082,河北省,廊坊市,三河市,[]
B0KGMUTD9H,燕机公司家属楼,"116.846193,39.951281",商务住宅;住宅区;住宅小区,120302,行宫东大街467号,131082,河北省,廊坊市,三河市,[]
B0LDU6AC62,农垦社区,"116.835970,39.953334",商务住宅;住宅区;住宅小区,120302,学院大街与燕昌路交叉口东260米,131082,河北省,廊坊市,三河市,[]
B0KD6ZGCK3,福成四合院,"116.841114,39.950581",商务住宅;住宅区;住宅小区,120302,行宫东大街451号,131082,河北省,廊坊市,三河市,行宫东大街
B0FFFWMA3E,上上城青年社区三期,"116.838436,39.950665",商务住宅;住宅区;住宅小区,120302,行宫东大街185附近,131082,河北省,廊坊市,三河市,五期
B0FFGY2YIA,福成公寓B区,"116.836204,39.951450",商务住宅;住宅区;住宅小区,120302,行宫东大街,131082,河北省,廊坊市,三河市,五期
B0FFF9PB17,上上城青年社区2期,"116.845739,39.948558",商务住宅;住宅区;住宅小区,120302,行宫东大街南侧,131082,河北省,廊坊市,三河市,五期
B0L32U3XEZ,乐知苑,"116.843360,39.971052",商务住宅;住宅区;住宅小区,120302,幸福大街乐知苑,131082,河北省,廊坊市,三河市,[]
B0JUGB5W6Z,福成公寓,"116.836466,39.949902",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区行宫东大街,131082,河北省,廊坊市,三河市,行宫东大街
B013C0IGW0,王各庄住宅小区,"116.832068,39.952942",商务住宅;住宅区;住宅小区,120302,学院东大街16号,131082,河北省,廊坊市,三河市,[]
B0MBAC9QSV,福成四合院南区东院,"116.841374,39.948173",商务住宅;住宅区;住宅小区,120302,燕高路15号,131082,河北省,廊坊市,三河市,[]
B0MGJYBKZ6,京贸物联批发市场公寓楼,"116.830275,39.955675",商务住宅;住宅区;住宅小区,120302,燕昌路与学院大街交叉口西北280米,131082,河北省,廊坊市,三河市,学院大街
B0FFK2DWY2,福成公寓A区,"116.836811,39.948709",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区行宫东大街,131082,河北省,廊坊市,三河市,行宫东大街
B0FFFGYW09,中隧东院,"116.844227,39.947239",商务住宅;住宅区;住宅小区,120302,京哈公路999号附近,131082,河北省,廊坊市,三河市,[]
B0LKBXUN8G,燕兴社区,"116.830596,39.953946",商务住宅;住宅区;住宅区,120300,学院大街与燕昌路交叉口西220米,131082,河北省,廊坊市,三河市,学院大街
B0JB31GT1U,中行家属院,"116.832843,39.950574",商务住宅;住宅区;住宅小区,120302,燕昌路与行宫东大街交叉口西北120米,131082,河北省,廊坊市,三河市,行宫东大街
B013C0IECE,普罗旺斯,"116.827666,39.955527",商务住宅;住宅区;住宅小区,120302,汉王路245号,131082,河北省,廊坊市,三河市,学院大街
B013C0HWTG,燕园公寓,"116.828905,39.953473",商务住宅;住宅区;住宅小区,120302,学院大街626号,131082,河北省,廊坊市,三河市,学院大街
B013C0IEAP,鑫岭家园,"116.860281,39.952147",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区,131082,河北省,廊坊市,三河市,[]
B0FFF4WJ62,鼎盛·家园2期,"116.833240,39.948920",商务住宅;住宅区;住宅小区,120302,燕郊经济技术开发区燕昌路,131082,河北省,廊坊市,三河市,行宫东大街
